id,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,created_at,difficulty
000616c0-27e7-48ce-adc8-36d56232560e,"Just as the Möbius strip in topology is named not for the first person to study its properties but for the mathematician who popularized it, so too does the Fibonacci sequence in number theory take its name from a ______ who was not the first to describe the sequence. Which choice completes the text so that it conforms to the conventions of Standard English?","mathematician; in this case, Leonardo of Pisa","mathematician—in this case, Leonardo of Pisa,","mathematician—in this case, Leonardo of Pisa—","mathematician in this case, Leonardo of Pisa,",C,"Correct Answer: C) mathematician—in this case, Leonardo of Pisa—
The em dashes correctly set off the parenthetical phrase “in this case, Leonardo of Pisa,” which adds extra detail about the mathematician without breaking the flow of the sentence.
Choice A uses a semicolon incorrectly.
Choice B opens with an em dash but ends with a comma, which is inconsistent.
Choice D lacks any punctuation before “in this case,” making it unclear.",2025-06-24 04:46:51.280137+00,
001046b4-0d25-4162-9e21-3c5a648140c4,"In 1987, chemist Ahmed Zewail devised a novel technique in optical spectroscopy that allowed him to study ultrafast chemical reactions occurring within molecules. Years later, he _____ for this groundbreaking research with the Wolf Prize in Chemistry and the Robert A. Welch Award and hence would become known as the father of femtochemistry.
Which choice completes the text so that it conforms to the conventions of Standard English?",is honored,would be honored,will be honored,had been honored,B,"Correct Answer:
B) would be honored  
This choice correctly uses would be honored to describe a future action from the perspective of a past event, conforming to the conventions of Standard English.

Explanation:
 A) is honored  
   - Incorrect. The present tense is honored does not fit the context since it describes an event that happened in the past (Years later).

B) would be honored  
   - Correct. This choice uses would be honored, which appropriately indicates a future action from a past perspective. It suggests that at some point after 1987, Zewail was expected to be honored.

C) will be honored  
   - Incorrect. The future tense will be honored does not fit the context since the sentence refers to an event that has already occurred.

D) had been honored  
   - Incorrect. The past perfect tense had been honored is used to indicate an action completed before another past action, but in this context, would be honored better reflects the intended meaning of an anticipated or future event from the perspective of the past.",2025-06-24 03:24:36.836709+00,
005ee996-5d30-4891-867e-f0bf07e54e9b,"Renowned for its capacity to adapt to various environments, the Arctic fox, along with several other resilient species, ______ to a group of animals capable of thriving in extreme conditions.",adhere,adheres,have adhered,are adhering,B,"Correct Answer: B) adheres.\n\nExplanation:\nThe subject of the sentence is “the Arctic fox,” which is singular. The phrase “along with several other resilient species” is a parenthetical addition and does not affect the verb agreement. Therefore, the verb must agree with the singular subject “the Arctic fox.” Hence, “adheres” (singular) is the correct form.",2025-06-24 04:36:40.586768+00,
00668bac-2882-4849-ae54-945d422e5eab,"The following text is from George Eliot's 1859 novel Adam Bede.\n\nMrs. Poyser had been asking her husband to cut down the tall hedge that bordered their garden for several months, but he had always put it off, insisting it wasn't the right season. When she heard the sound of chopping that morning, she hurried outside with a mixture of annoyance and curiosity. She had expected to find her husband finally getting to the task, but instead, there stood a neighbor, axe in hand, cheerfully cutting down the hedge.\n\nWhich choice best describes the function of the underlined sentence in the text as a whole?",It illustrates Mrs. Poyser's skepticism toward her husband's promises.,It helps explain why Mrs. Poyser is surprised by the unexpected sight.,It emphasizes Mrs. Poyser's dedication to maintaining her garden.,It conveys the urgency with which Mrs. Poyser wanted the hedge removed.,B,"This is the correct answer because the underlined sentence sets up the context that Mrs. Poyser had been repeatedly asking her husband to cut down the hedge, which explains why she is surprised when she finds someone else doing it.",2025-06-24 04:06:04.355651+00,
012e4626-bed4-4fb6-968b-e09cdcdadceb,The student wants to make a generalization about the Global Seed Vault. Which choice most effectively uses relevant information from the notes to accomplish this goal?,Seeds stored in the Global Seed Vault are kept in cold and dry conditions.,The Global Seed Vault was created as a response to the possibility of global crisis.,The Global Seed Vault is important for protecting global biodiversity by preserving a wide variety of seeds.,The Global Seed Vault stores more than 1 million seed samples.,C,"It captures the overall purpose and function of the Seed Vault — a generalization based on multiple points: global, biodiversity, protection.",2025-06-24 03:52:01.807021+00,
01ce50f9-aa85-4a9d-accf-d05fe6fe76c6,"Sea turtles and groupers are known to have 3D vision, which helps them perceive distance while swimming or hunting. Octopuses and squid are believed to lack this ability. Many marine biologists had assumed the same about Mediterranean cuttlefish, but marine researcher Dr. Ayşegül Dinçer and her team wanted to challenge that assumption. They tested how cuttlefish responded when shown 3D projections of shrimp—a favorite prey—inside an observation tank. The cuttlefish adjusted their position before striking, closely matching the changes in depth in the projections. This behavior suggests that Mediterranean cuttlefish may indeed have 3D vision. Which choice best states the main idea of the text?",Dr. Dinçer's team created experimental shrimp projections for cuttlefish.,"Prior to their research, Dr. Dinçer's team demonstrated that groupers and turtles have 3D vision.","The findings of Dr. Dinçer's study suggest that like groupers and sea turtles, Mediterranean cuttlefish may also have 3D vision.",Mediterranean cuttlefish have more advanced vision than both sea turtles and groupers.,C,"The correct answer is C because it accurately summarizes the main idea of the text, which is that the findings of Dr. Dinçer's study suggest that Mediterranean cuttlefish may also have 3D vision like groupers and sea turtles.",2025-06-24 04:46:51.280137+00,
022589d8-d63c-4b81-917e-9c8421512249,"In recent years, Turkish Aerospace Industries (TAI) has expanded its focus from military aviation to space technology. One major milestone was the launch of IMECE, an Earth observation satellite developed for high-resolution imaging. Engineers noted that while traditional aircraft require atmospheric lift to remain airborne, ___, satellites like IMECE maintain their paths through orbital velocity alone. Which choice completes the text with the most logical transition?","Regardless,","Instead,","For instance,","Moreover,",B,"Choice B ""Instead"" is the correct answer because it contrasts the difference between traditional aircraft and satellites, highlighting the shift in focus from atmospheric lift to orbital velocity in the context of TAI's expansion into space technology.",2025-06-24 04:46:51.280137+00,
03cd7c67-18ee-4e3d-b874-ac909746840a,"The Iguazu Falls, which lie on the border between Argentina and Brazil, are a popular and _______ tourist destination. The waterfalls have been visited by people from all over the world for over a century, and they are often cited as one of the most impressive natural wonders on Earth.
Which choice completes the text with the most logical and precise word or phrase?",Fleeting,Revered,Obscure,Precarious,B,"The word ""revered"" is the most appropriate choice as it accurately reflects the high level of admiration and respect that the Iguazu Falls receive from tourists and visitors, highlighting their popularity and awe-inspiring nature.",2025-06-24 03:27:59.878919+00,
03d5cefd-5880-4a02-8d3e-cb85ffa6b2c3,"The following text is adapted to describe a fictional Turkish journalist in the 1930s. Ahmet Cemal is a columnist for the influential newspaper Yeni Sabah. It is true that in remote towns people did not speak daily of Ahmet Cemal, but they read Yeni Sabah and believed that without it, public life would be incomplete. This kind of quiet yet certain influence matched the journalist’s character. He enjoyed sitting silently at a corner table in the İstanbul Press Club, listening to the loud debates of public officials, and thinking how they all were within his influence—how he could undermine the most vocal among them, if he thought it worth lifting his pen. What does the text most strongly suggest about Ahmet Cemal?",He takes private satisfaction in his capacity to influence public opinion.,He seeks mainly the admiration of readers in places that are far away.,He has received much praise but tends to treasure too highly his power over others.,He flatters himself that his readers take a greater interest in him than in politicians.,A,"The text suggests that Ahmet Cemal takes quiet satisfaction in his ability to influence public opinion, as seen in his enjoyment of silently observing debates and contemplating his power over others. This aligns with option A, which highlights his private satisfaction in his capacity to influence.",2025-06-24 04:46:51.280137+00,
03d644e3-faac-4bbd-be69-4356d1fec375,"As a diplomat, he was known for his __________ nature, always maintaining calm and poise even in the most volatile situations.",incendiary,equitable,intemperate,equanimous,D,"The correct answer is equanimous, which means having calmness and composure, especially in difficult situations. The sentence emphasizes his ability to remain calm and poised, making equanimous the right choice. Incendiary means causing conflict, equitable means fair or just, and intemperate means lacking self-control, none of which fit the context.",2025-06-24 04:28:42.658112+00,
